symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik
KVUE,Kenvue,Consumer Staples,Personal Care Products,Skillman, New Jersey,2023-08-25
PANW,Palo Alto Networks,Information Technology,Application Software,Santa Clara, California,2023-06-20
AXON,Axon Enterprise,Industrials,Aerospace & Defense,Scottsdale, Arizona,2023-05-04
FICO,Fair Isaac,Information Technology,Application Software,Bozeman, Montana,2023-03-20
BG,Bunge Limited,Consumer Staples,Agricultural Products & Services,Chesterfield, Missouri,2023-03-15
PODD,Insulet,Health Care,Health Care Equipment,Acton, Massachusetts,2023-03-15
GEHC,GE HealthCare,Health Care,Health Care Technology,Chicago, Illinois,2023-01-04
STLD,Steel Dynamics,Materials,Steel,Fort Wayne, Indiana,2022-12-22
FSLR,First Solar,Information Technology,Semiconductors,Tempe, Arizona,2022-12-19
ACGL,Arch Capital Group,Financials,Reinsurance,Hamilton, Bermuda,2022-11-01
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,Houston, Texas,2022-10-12
EQT,EQT,Energy,Oil & Gas Exploration & Production,Pittsburgh, Pennsylvania,2022-10-03
PCG,PG&E Corporation,Utilities,Multi-Utilities,San Francisco, California,2022-10-03
CSGP,CoStar Group,Industrials,Research & Consulting Services,Washington, D.C.,2022-09-19
INVH,Invitation Homes,Real Estate,Residential REITs,Dallas, Texas,2022-09-19
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Burlington, Massachusetts,2022-06-21
ON,ON Semiconductor,Information Technology,Semiconductors,Phoenix, Arizona,2022-06-21
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,New York City, New York,2022-06-08
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,New York City, New York,2022-04-11
CPT,Camden Property Trust,Real Estate,Residential REITs,Houston, Texas,2022-04-04
MOH,Molina Healthcare,Health Care,Managed Health Care,Long Beach, California,2022-03-02
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,Westlake, Ohio,2022-02-15
CEG,Constellation Energy,Utilities,Multi-Utilities,Baltimore, Maryland,2022-02-02
FDS,FactSet,Financials,Financial Exchanges & Data,Norwalk, Connecticut,2021-12-20
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,Herzliya, Israel,2021-12-20
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,Newtown, Pennsylvania,2021-12-14
BRO,Brown & Brown,Financials,Insurance Brokers,Daytona Beach, Florida,2021-09-20
CDAY,Ceridian,Information Technology,Application Software,Minneapolis, Minnesota,2021-09-20
MTCH,Match Group,Communication Services,Interactive Media & Services,Dallas, Texas,2021-09-20
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,Minneapolis, Minnesota,2021-08-30
MRNA,Moderna,Health Care,Biotechnology,Cambridge, Massachusetts,2021-07-21
OGN,Organon & Co.,Health Care,Pharmaceuticals,Jersey City, New Jersey,2021-06-03
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,Wilmington, Massachusetts,2021-05-14
PTC,PTC,Information Technology,Application Software,Boston, Massachusetts,2021-04-20
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,Reno, Nevada,2021-03-22
GNRC,Generac,Industrials,Electrical Components & Equipment,Waukesha, Wisconsin,2021-03-22
NXPI,NXP Semiconductors,Information Technology,Semiconductors,Eindhoven, Netherlands,2021-03-22
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,Kirkland, Washington,2021-02-12
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,Westminster, Colorado,2021-01-21
ENPH,Enphase,Information Technology,Electronic Components,Fremont, California,2021-01-07
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,Austin, Texas,2020-12-21
POOL,Pool Corporation,Consumer Discretionary,Distributors,Covington, Louisiana,2020-10-07
CTLT,Catalent,Health Care,Pharmaceuticals,Somerset, New Jersey,2020-09-21
ETSY,Etsy,Consumer Discretionary,Broadline Retail,New York City, New York,2020-09-21
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,North Reading, Massachusetts,2020-09-21
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,Hercules, California,2020-06-22
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,Thousand Oaks, California,2020-06-22
TYL,Tyler Technologies,Information Technology,Application Software,Plano, Texas,2020-06-22
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,Exton, Pennsylvania,2020-05-22
DPZ,Domino's,Consumer Discretionary,Restaurants,Ann Arbor, Michigan,2020-05-12
DXCM,Dexcom,Health Care,Health Care Equipment,San Diego, California,2020-05-12
CARR,Carrier Global,Industrials,Building Products,Palm Beach Gardens, Florida,2020-04-03
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,Farmington, Connecticut,2020-04-03
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,Davidson, North Carolina,2020-03-03
PAYC,Paycom,Information Technology,Application Software,Oklahoma City, Oklahoma,2020-01-28
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,Beverly Hills, California,2019-12-23
STE,Steris,Health Care,Health Care Equipment,Dublin, Ireland,2019-12-23
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,Lincolnshire, Illinois,2019-12-23
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,Thomasville, North Carolina,2019-12-09
WRB,Berkley,Financials,Property & Casualty Insurance,Greenwich, Connecticut,2019-12-05
NOW,ServiceNow,Information Technology,Systems Software,Santa Clara, California,2019-11-21
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,Las Vegas, Nevada,2019-10-03
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,Reston, Virginia,2019-09-26
CDW,CDW,Information Technology,Technology Distributors,Lincolnshire, Illinois,2019-09-23
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,Lake Forest, Illinois,2019-08-09
LDOS,Leidos,Industrials,Diversified Support Services,Reston, Virginia,2019-08-09
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,Bellevue, Washington,2019-07-15
MKTX,MarketAxess,Financials,Financial Exchanges & Data,New York City, New York,2019-07-01
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Warmley, Bristol, United Kingdom
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,Indianapolis, Indiana,2019-06-03
DD,DuPont,Materials,Specialty Chemicals,Wilmington, Delaware,2019-04-02
DOW,Dow Inc.,Materials,Commodity Chemicals,Midland, Michigan,2019-04-01
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,Pittsburgh, Pennsylvania,2019-02-27
ATO,Atmos Energy,Utilities,Gas Utilities,Dallas, Texas,2019-02-15
TFX,Teleflex,Health Care,Health Care Equipment,Wayne, Pennsylvania,2019-01-18
CE,Celanese,Materials,Specialty Chemicals,Irving, Texas,2018-12-24
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,Midland, Texas,2018-12-03
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,Eagle, Idaho,2018-12-03
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,Monett, Missouri,2018-11-13
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,Santa Rosa, California,2018-11-06
FTNT,Fortinet,Information Technology,Systems Software,Sunnyvale, California,2018-10-11
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,Atlanta, Georgia,2018-10-01
ANET,Arista Networks,Information Technology,Communications Equipment,Santa Clara, California,2018-08-28
CPRT,Copart,Industrials,Diversified Support Services,Dallas, Texas,2018-07-02
FLT,Fleetcor,Financials,Transaction & Payment Processing Services,Atlanta, Georgia,2018-06-20
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,Lake Success, New York,2018-06-18
EVRG,Evergy,Utilities,Electric Utilities,Kansas City, Missouri,2018-06-05
MSCI,MSCI,Financials,Financial Exchanges & Data,New York City, New York,2018-04-04
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,New York City, New York,2018-03-19
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,Newport News, Virginia,2018-01-03
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Miami, Florida
CDNS,Cadence Design Systems,Information Technology,Application Software,San Jose, California,2017-09-18
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,Boca Raton, Florida,2017-09-01
IQV,IQVIA,Health Care,Life Sciences Tools & Services,Durham, North Carolina,2017-08-29
AOS,A. O. Smith,Industrials,Building Products,Milwaukee, Wisconsin,2017-07-26
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,Paradise, Nevada,2017-07-26
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,Lake Forest, Illinois,2017-07-26
RMD,ResMed,Health Care,Health Care Equipment,San Diego, California,2017-07-26
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,Houston, Texas,2017-07-07
ALGN,Align Technology,Health Care,Health Care Supplies,Tempe, Arizona,2017-06-19
ANSS,Ansys,Information Technology,Application Software,Canonsburg, Pennsylvania,2017-06-19
EG,Everest Re,Financials,Reinsurance,Hamilton, Bermuda,2017-06-19
HLT,Hilton Worldwide,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Tysons Corner, Virginia
IT,Gartner,Information Technology,IT Consulting & Other Services,Stamford, Connecticut,2017-04-05
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,Tysons Corner, Virginia,2017-04-04
AMD,AMD,Information Technology,Semiconductors,Santa Clara, California,2017-03-20
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Pasadena, California,2017-03-20
RJF,Raymond James,Financials,Investment Banking & Brokerage,St. Petersburg, Florida,2017-03-20
SNPS,Synopsys,Information Technology,Application Software,Sunnyvale, California,2017-03-16
REG,Regency Centers,Real Estate,Retail REITs,Jacksonville, Florida,2017-03-02
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,Chicago, Illinois,2017-03-01
INCY,Incyte,Health Care,Biotechnology,Wilmington, Delaware,2017-02-28
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,Westbrook, Maine,2017-01-05
MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,Memphis, Tennessee,2016-12-02
COO,CooperCompanies,Health Care,Health Care Supplies,San Ramon, California,2016-09-23
CHTR,Charter Communications,Communication Services,Cable & Satellite,Stamford, Connecticut,2016-09-08
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,Columbus, Ohio,2016-09-06
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Charlotte, North Carolina,2016-07-01
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,Everett, Washington,2016-07-01
LNT,Alliant Energy,Utilities,Electric Utilities,Madison, Wisconsin,2016-07-01
TDG,TransDigm Group,Industrials,Aerospace & Defense,Cleveland, Ohio,2016-06-03
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Rolling Meadows, Illinois,2016-05-31
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,Chicago, Illinois,2016-05-23
DLR,Digital Realty,Real Estate,Data Center REITs,Austin, Texas,2016-05-18
ALK,Alaska Air Group,Industrials,Passenger Airlines,SeaTac, Washington,2016-05-13
GPN,Global Payments,Financials,Transaction & Payment Processing Services,Atlanta, Georgia,2016-04-25
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,Bolingbrook, Illinois,2016-04-18
CNC,Centene Corporation,Health Care,Managed Health Care,St. Louis, Missouri,2016-03-30
HOLX,Hologic,Health Care,Health Care Equipment,Marlborough, Massachusetts,2016-03-30
UDR,"UDR, Inc.",Real Estate,Residential REITs,Highlands Ranch, Colorado,2016-03-07
AWK,American Water Works,Utilities,Water Utilities,Camden, New Jersey,2016-03-04
FRT,Federal Realty,Real Estate,Retail REITs,Rockville, Maryland,2016-02-01
CFG,Citizens Financial Group,Financials,Regional Banks,Providence, Rhode Island,2016-01-29
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,Salt Lake City, Utah,2016-01-19
WTW,Willis Towers Watson,Financials,Insurance Brokers,London, United Kingdom,2016-01-05
CHD,Church & Dwight,Consumer Staples,Household Products,Ewing, New Jersey,2015-12-29
ILMN,Illumina,Health Care,Life Sciences Tools & Services,San Diego, California,2015-11-19
SYF,Synchrony Financial,Financials,Consumer Finance,Stamford, Connecticut,2015-11-18
HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware, Storage & Peripherals,Houston, Texas
VRSK,Verisk,Industrials,Research & Consulting Services,Jersey City, New Jersey,2015-10-08
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,New York City, New York,2015-09-18
NWS,News Corp (Class B),Communication Services,Publishing,New York City, New York,2015-09-18
UAL,United Airlines Holdings,Industrials,Passenger Airlines,Chicago, Illinois,2015-09-03
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,Santa Monica, California,2015-08-31
PYPL,PayPal,Financials,Transaction & Payment Processing Services,San Jose, California,2015-07-20
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,Chicago, Illinois; Pittsburgh, Pennsylvania
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,Lowell, Arkansas,2015-07-01
QRVO,Qorvo,Information Technology,Semiconductors,Greensboro, North Carolina,2015-06-11
O,Realty Income,Real Estate,Retail REITs,San Diego, California,2015-04-07
AAL,American Airlines Group,Industrials,Passenger Airlines,Fort Worth, Texas,2015-03-23
EQIX,Equinix,Real Estate,Data Center REITs,Redwood City, California,2015-03-20
HSIC,Henry Schein,Health Care,Health Care Distributors,Melville, New York,2015-03-17
SWKS,Skyworks Solutions,Information Technology,Semiconductors,Irvine, California,2015-03-12
HCA,HCA Healthcare,Health Care,Health Care Facilities,Nashville, Tennessee,2015-01-27
RCL,Royal Caribbean Group,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Miami, Florida
UHS,Universal Health Services,Health Care,Health Care Facilities,King of Prussia, Pennsylvania,2014-09-20
URI,United Rentals,Industrials,Trading Companies & Distributors,Stamford, Connecticut,2014-09-20
MLM,Martin Marietta Materials,Materials,Construction Materials,Raleigh, North Carolina,2014-07-02
AVGO,Broadcom Inc.,Information Technology,Semiconductors,San Jose, California,2014-05-08
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Mountain View, California,2014-04-03
ESS,Essex Property Trust,Real Estate,Residential REITs,San Mateo, California,2014-04-02
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,Brentwood, Tennessee,2014-01-24
META,Meta Platforms,Communication Services,Interactive Media & Services,Menlo Park, California,2013-12-23
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,Calhoun, Georgia,2013-12-23
ALLE,Allegion,Industrials,Building Products,New York City, New York,2013-12-02
AME,Ametek,Industrials,Electrical Components & Equipment,Berwyn, Pennsylvania,2013-09-23
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,Cambridge, Massachusetts,2013-09-23
DAL,Delta Air Lines,Industrials,Passenger Airlines,Atlanta, Georgia,2013-09-11
NWSA,News Corp (Class A),Communication Services,Publishing,New York City, New York,2013-08-01
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,New York City, New York,2013-07-01
ZTS,Zoetis,Health Care,Pharmaceuticals,Parsippany, New Jersey,2013-06-21
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,Detroit, Michigan,2013-06-06
REGN,Regeneron,Health Care,Biotechnology,Tarrytown, New York,2013-05-01
ABBV,AbbVie,Health Care,Pharmaceuticals,North Chicago, Illinois,2012-12-31
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Dublin, Ireland,2012-12-24
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,Schaffhausen, Switzerland,2012-12-12
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,Goodlettsville, Tennessee,2012-12-03
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,Chicago, Illinois,2012-10-02
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,Worsley, United Kingdom,2012-10-01
LYB,LyondellBasell,Materials,Specialty Chemicals,Rotterdam, Netherlands,2012-09-05
STX,Seagate Technology,Information Technology,Technology Hardware, Storage & Peripherals,Dublin, Ireland
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,Fremont, California,2012-06-29
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Corona, California,2012-06-28
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,Houston, Texas,2012-05-25
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,Houston, Texas,2012-05-01
CCI,Crown Castle,Real Estate,Telecom Tower REITs,Houston, Texas,2012-03-14
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,Auburn Hills, Michigan,2011-12-19
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,Chesapeake, Virginia,2011-12-19
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,White Plains, New York,2011-11-01
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,Schaffhausen, Switzerland,2011-10-17
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,Tampa, Florida,2011-09-26
ACN,Accenture,Information Technology,IT Consulting & Other Services,Dublin, Ireland,2011-07-06
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,Findlay, Ohio,2011-07-01
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,Newport Beach, California,2011-04-28
BLK,BlackRock,Financials,Asset Management & Custody Banks,New York City, New York,2011-04-04
EW,Edwards Lifesciences,Health Care,Health Care Equipment,Irvine, California,2011-04-01
FFIV,"F5, Inc.",Information Technology,Communications Equipment,Seattle, Washington,2010-12-20
NFLX,Netflix,Communication Services,Movies & Entertainment,Los Gatos, California,2010-12-20
TT,Trane Technologies,Industrials,Building Products,Dublin, Ireland,2010-11-17
JCI,Johnson Controls,Industrials,Building Products,Cork, Ireland,2010-08-27
CB,Chubb Limited,Financials,Property & Casualty Insurance,Zurich, Switzerland,2010-07-15
KMX,CarMax,Consumer Discretionary,Automotive Retail,Richmond, Virginia,2010-06-28
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,Tulsa, Oklahoma,2010-03-15
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,Omaha, Nebraska,2010-02-16
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,Houston, Texas,2010-01-29
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,Sarasota, Florida,2009-12-23
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,Dublin, California,2009-12-21
V,Visa Inc.,Financials,Transaction & Payment Processing Services,San Francisco, California,2009-12-21
BKNG,Booking Holdings,Consumer Discretionary,Hotels, Restaurants & Leisure,Norwalk, Connecticut
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,Philadelphia, Pennsylvania,2009-08-19
PWR,Quanta Services,Industrials,Construction & Engineering,Houston, Texas,2009-07-01
WDC,Western Digital,Information Technology,Technology Hardware, Storage & Peripherals,San Jose, California
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,Springfield, Missouri,2009-03-27
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,Austin, Minnesota,2009-03-04
VTR,Ventas,Real Estate,Health Care REITs,Chicago, Illinois,2009-03-04
WELL,Welltower,Real Estate,Health Care REITs,Toledo, Ohio,2009-01-30
IRM,Iron Mountain,Real Estate,Other Specialized REITs,Boston, Massachusetts,2009-01-06
ES,Eversource,Utilities,Multi-Utilities,Hartford, Connecticut,2009
RSG,Republic Services,Industrials,Environmental & Facilities Services,Phoenix, Arizona,2008-12-05
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,Paradise, Nevada,2008-11-14
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,Charlotte, North Carolina,2008-11-14
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,Orrville, Ohio,2008-11-06
WEC,WEC Energy Group,Utilities,Electric Utilities,Milwaukee, Wisconsin,2008-10-31
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,New York City, New York,2008-10-22
APH,Amphenol,Information Technology,Electronic Components,Wallingford, Connecticut,2008-09-30
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,Irving, Texas,2008-09-24
LHX,L3Harris,Industrials,Aerospace & Defense,Melbourne, Florida,2008-09-22
CRM,Salesforce,Information Technology,Application Software,San Francisco, California,2008-09-15
FAST,Fastenal,Industrials,Building Products,Winona, Minnesota,2008-09-15
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,Deerfield, Illinois,2008-08-27
IVZ,Invesco,Financials,Asset Management & Custody Banks,Atlanta, Georgia,2008-08-21
DVA,DaVita Inc.,Health Care,Health Care Facilities,Denver, Colorado,2008-07-31
MA,Mastercard,Financials,Transaction & Payment Processing Services,Harrison, New York,2008-07-18
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,Houston, Texas,2008-06-23
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,Sunnyvale, California,2008-06-02
PEAK,Healthpeak,Real Estate,Health Care REITs,Long Beach, California,2008-03-31
PM,Philip Morris International,Consumer Staples,Tobacco,New York City, New York,2008-03-31
AMT,American Tower,Real Estate,Telecom Tower REITs,Boston, Massachusetts,2007-11-19
J,Jacobs Solutions,Industrials,Construction & Engineering,Dallas, Texas,2007-10-26
EXPD,Expeditors International,Industrials,Air Freight & Logistics,Seattle, Washington,2007-10-10
EXPE,Expedia Group,Consumer Discretionary,Hotels, Restaurants & Leisure,Seattle, Washington
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,Atlanta, Georgia,2007-09-26
MCHP,Microchip Technology,Information Technology,Semiconductors,Chandler, Arizona,2007-09-07
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Cambridge, Massachusetts,2007-07-12
DFS,Discover Financial,Financials,Consumer Finance,Riverwoods, Illinois,2007-07-02
AIZ,Assurant,Financials,Multi-line Insurance,New York City, New York,2007-04-10
